Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1250,650,950,600,1250,1050
painting_2,sold,Mimic-Pro,1050,850,950,250,900,1050
painting_3,sold,Mimic-Llama,1450,950,1250,900,1450,1350
painting_4,sold,Math-T3,1200,1200,1000,,950,1100
painting_5,sold,Mimic-GPT-5.4,1300,1100,1300,1000,900,450
painting_6,sold,Mimic-Grok,1700,1000,1200,1700,300,1600
painting_7,sold,Math-T3,1700,1700,1600,900,1500,1300
painting_8,sold,Mimic-Llama,2700,1300,2000,2300,2700,2600
painting_9,sold,Mimic-GPT-5.4,2500,2400,2500,2300,1400,2200
painting_10,sold,Math-T3,3250,3250,1700,1900,1500,3000
painting_11,sold,Mimic-Pro,4500,2900,3500,4250,3000,4500
painting_12,sold,Mimic-Grok,5500,3750,5250,5500,4000,3250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,3850,6150,0.615,12,12,0,2341.667
Mimic-GPT-5.4,2,6200,3800,0.38,12,12,0,2341.667
Mimic-Grok,2,2800,7200,0.72,12,12,0,2341.667
Mimic-Llama,3,4600,5400,0.54,12,12,0,2341.667
Mimic-Pro,2,4450,5550,0.555,12,12,0,2341.667
