Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1400,850,250,1400,300,1300
painting_2,sold,Mimic-Opus,1250,1050,850,800,1250,1150
painting_3,sold,Mimic-GPT-5.4,1500,1500,1400,1200,950,1100
painting_4,sold,Mimic-Llama,1300,700,850,1300,900,1100
painting_5,sold,Mimic-Pro,1400,950,1300,1100,900,1400
painting_6,sold,Mimic-Llama,2700,1600,2600,2700,900,1200
painting_7,sold,Mimic-Grok,1700,1500,1700,800,1300,1600
painting_8,sold,Mimic-GPT-5.4,1500,1500,850,600,1400,550
painting_9,sold,Mimic-Opus,2200,1700,,1500,2200,2100
painting_10,sold,Mimic-Pro,4850,2500,4350,1200,2000,4850
painting_11,sold,Mimic-Grok,4250,4000,4250,3000,3750,2100
painting_12,sold,Mimic-Opus,6000,5500,850,3250,6000,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,7000,3000,0.3,12,12,0,2504.167
Mimic-Grok,2,4050,5950,0.595,12,12,0,2504.167
Mimic-Llama,3,4600,5400,0.54,12,12,0,2504.167
Mimic-Opus,3,550,9450,0.945,12,12,0,2504.167
Mimic-Pro,2,3750,6250,0.625,12,12,0,2504.167
