Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1300,600,950,900,1300,1200
painting_2,sold,Mimic-Llama,1100,1000,450,1100,550,600
painting_3,sold,Mimic-Llama,1350,1150,750,1350,1050,850
painting_4,sold,Mimic-Pro,1500,1300,800,1400,850,1500
painting_5,sold,Mimic-Grok,1700,1600,1700,650,850,1200
painting_6,sold,Mimic-Llama,1950,1850,500,1950,800,1050
painting_7,sold,Math-T3,1800,1800,1700,1500,1100,1300
painting_8,sold,Math-T3,1900,1900,1400,950,1800,1600
painting_9,sold,Mimic-Pro,2500,2100,2300,1600,2400,2500
painting_10,sold,Math-T3,2800,2800,2700,2400,900,1800
painting_11,sold,Mimic-Opus,3850,2800,500,2900,3850,3600
painting_12,sold,Mimic-Grok,5850,3500,5850,5600,2600,4750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,3500,6500,0.65,12,12,0,2300.0
Mimic-Grok,2,2450,7550,0.755,12,12,0,2300.0
Mimic-Llama,3,5600,4400,0.44,12,12,0,2300.0
Mimic-Opus,2,4850,5150,0.515,12,12,0,2300.0
Mimic-Pro,2,6000,4000,0.4,12,12,0,2300.0
