Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1400,1400,1200,1300,1100,1000
painting_2,sold,Math-T1,1550,1550,1450,700,1350,1050
painting_3,sold,Math-T1,2400,2400,1300,900,2300,1500
painting_4,sold,Math-T1,2150,2150,1550,1650,2050,1850
painting_5,sold,Math-T1,2500,2500,1800,1000,2400,1600
painting_6,sold,Mimic-Opus,2200,,1700,450,2200,2100
painting_7,sold,Mimic-GPT-5.4,2550,,2550,2450,1350,2150
painting_8,sold,Mimic-Grok,2600,,1600,2600,1900,2500
painting_9,sold,Mimic-Pro,3100,,2900,2100,1800,3100
painting_10,sold,Mimic-Grok,3750,,3000,3750,3500,2700
painting_11,sold,Mimic-Opus,6500,,6250,800,6500,5500
painting_12,sold,Mimic-GPT-5.4,3800,,3800,450,1250,3550

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,5,0,10000,1.0,12,12,0,2875.0
Mimic-GPT-5.4,2,3650,6350,0.635,12,12,0,2875.0
Mimic-Grok,2,3650,6350,0.635,12,12,0,2875.0
Mimic-Opus,2,1300,8700,0.87,12,12,0,2875.0
Mimic-Pro,1,6900,3100,0.31,12,12,0,2875.0
