Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,950,750,950,900,850,800
painting_2,sold,Mimic-Llama,1650,900,1250,800,1650,1550
painting_3,sold,Mimic-Llama,1400,900,1200,1100,1400,1300
painting_4,sold,Mimic-Pro,1100,1000,950,900,800,1100
painting_5,sold,Mimic-Grok,1400,1100,1000,1400,850,1300
painting_6,sold,Math-T2,1200,1200,1100,800,700,1000
painting_7,sold,Mimic-GPT-5.4,1450,1350,1450,1050,950,850
painting_8,sold,Mimic-Llama,2300,1600,2100,2000,2300,2200
painting_9,sold,Mimic-Pro,3250,2300,1700,3000,2900,3250
painting_10,sold,Mimic-Grok,4250,2700,4000,4250,2000,3500
painting_11,sold,Mimic-Pro,4750,3750,4500,750,4250,4750
painting_12,sold,Math-T2,6000,6000,5750,700,4250,900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,2800,7200,0.72,12,12,0,2475.0
Mimic-GPT-5.4,2,7600,2400,0.24,12,12,0,2475.0
Mimic-Grok,2,4350,5650,0.565,12,12,0,2475.0
Mimic-Llama,3,4650,5350,0.535,12,12,0,2475.0
Mimic-Pro,3,900,9100,0.91,12,12,0,2475.0
