Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1400,1400,900,200,100,1300
painting_2,sold,Math-T1,2300,2300,2200,2000,900,1000
painting_3,sold,Math-T1,1500,1500,850,1400,950,1200
painting_4,sold,Math-T1,1900,1900,1600,1300,1200,1800
painting_5,sold,Math-T1,2200,2200,1500,2100,2000,1300
painting_6,sold,Mimic-Opus,1950,550,1850,1750,1950,1350
painting_7,sold,Mimic-GPT-5.4,1700,500,1700,,1000,1600
painting_8,sold,Mimic-Grok,2400,650,2300,2400,1200,2100
painting_9,sold,Mimic-GPT-5.4,2450,550,2450,1750,1650,2250
painting_10,sold,Mimic-Pro,3000,550,2600,2000,2900,3000
painting_11,sold,Mimic-Grok,5750,550,3500,5750,5500,5250
painting_12,sold,Mimic-GPT-5.4,3750,500,3750,150,1800,3500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,5,700,9300,0.93,12,12,0,2525.0
Mimic-GPT-5.4,3,2100,7900,0.79,12,12,0,2525.0
Mimic-Grok,2,1850,8150,0.815,12,12,0,2525.0
Mimic-Opus,1,8050,1950,0.195,12,12,0,2525.0
Mimic-Pro,1,7000,3000,0.3,12,12,0,2525.0
