Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1200,800,,1100,450,1200
painting_2,sold,Mimic-Llama,1700,850,800,1700,1400,1300
painting_3,sold,Mimic-Llama,1300,1000,650,1300,1100,800
painting_4,sold,Mimic-Opus,1600,1500,1100,1000,1600,1300
painting_5,sold,Math-T3,1500,1500,1000,750,950,1400
painting_6,sold,Mimic-Llama,1700,1400,950,1700,1600,1500
painting_7,sold,Math-T3,2100,2100,2000,1200,1500,1000
painting_8,sold,Mimic-Grok,2400,1300,2400,2300,1900,1800
painting_9,sold,Mimic-Pro,2800,1800,2700,2100,2500,2800
painting_10,sold,Mimic-Grok,4500,4000,4500,2800,3500,3250
painting_11,sold,Math-T3,5350,5350,800,3600,5100,4100
painting_12,sold,Mimic-Opus,5400,850,,5150,5400,3400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1050,8950,0.895,12,12,0,2629.167
Mimic-Grok,2,3100,6900,0.69,12,12,0,2629.167
Mimic-Llama,3,5300,4700,0.47,12,12,0,2629.167
Mimic-Opus,2,3000,7000,0.7,12,12,0,2629.167
Mimic-Pro,2,6000,4000,0.4,12,12,0,2629.167
