Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,950,950,650,800,900,500
painting_2,sold,Math-T1,1600,1600,850,1100,1500,1000
painting_3,sold,Math-T1,1500,1500,900,1200,1000,1400
painting_4,sold,Math-T1,1800,1800,1700,1200,1600,1000
painting_5,sold,Math-T1,2250,2250,1650,1350,2150,
painting_6,sold,Mimic-Pro,2600,1900,1800,2400,2500,2600
painting_7,sold,Mimic-Opus,2300,1300,2200,1800,2300,1600
painting_8,sold,Mimic-GPT-5.4,2800,1600,2800,2700,2600,1900
painting_9,sold,Mimic-Grok,3500,1400,3000,3500,2500,1700
painting_10,sold,Mimic-Opus,4250,1500,3750,2300,4250,3500
painting_11,sold,Mimic-Pro,6000,1400,5500,5250,1600,6000
painting_12,sold,Mimic-GPT-5.4,6450,1900,6450,5950,3450,1000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,5,1900,8100,0.81,12,12,0,3000.0
Mimic-GPT-5.4,2,750,9250,0.925,12,12,0,3000.0
Mimic-Grok,1,6500,3500,0.35,12,12,0,3000.0
Mimic-Opus,2,3450,6550,0.655,12,12,0,3000.0
Mimic-Pro,2,1400,8600,0.86,12,12,0,3000.0
