Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Math-T1,max_bid_Pro
painting_1,sold,Math-T1,1600,1100,650,1500,1600,1300
painting_2,sold,Math-T1,1100,850,900,800,1100,1000
painting_3,sold,Math-T1,1800,1200,900,1700,1800,1000
painting_4,sold,Math-T1,1700,850,1200,1100,1700,1600
painting_5,sold,Math-T1,1600,1500,950,1200,1600,1100
painting_6,sold,Llama,2900,1300,1400,2900,2200,2800
painting_7,sold,GPT-5.4,2300,2300,650,1000,2200,1600
painting_8,sold,Pro,2500,1300,1400,2400,2100,2500
painting_9,sold,Grok,2300,1700,2300,1600,2200,2000
painting_10,sold,Llama,3000,2800,2500,3000,2000,2100
painting_11,sold,Pro,4000,3750,2900,3500,2000,4000
painting_12,sold,GPT-5.4,7700,7700,,,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,0,10000,1.0,12,12,0,2708.333
Grok,1,7700,2300,0.23,12,12,0,2708.333
Llama,2,4100,5900,0.59,12,12,0,2708.333
Math-T1,5,2200,7800,0.78,12,12,0,2708.333
Pro,2,3500,6500,0.65,12,12,0,2708.333
