Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1100,800,700,900,1000,1100
painting_2,sold,Mimic-Llama,1100,900,550,1100,1000,850
painting_3,sold,Mimic-Opus,1100,1000,800,900,1100,550
painting_4,sold,Math-T2,1100,1100,750,650,950,1000
painting_5,sold,Mimic-Llama,2100,1100,1900,2100,900,1000
painting_6,sold,Mimic-Grok,1600,1000,1600,1100,1200,1500
painting_7,sold,Mimic-Grok,1700,1400,1700,1500,1600,1300
painting_8,sold,Mimic-Llama,2200,1300,250,2200,2100,1800
painting_9,sold,Mimic-Pro,2300,1900,1700,1400,2100,2300
painting_10,sold,Math-T2,2300,2300,1900,1600,2200,2000
painting_11,sold,Mimic-Opus,3750,3250,2600,2400,3750,3000
painting_12,sold,Math-T2,5850,5850,2000,1700,3850,5600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,750,9250,0.925,12,12,0,2183.333
Mimic-Grok,2,6700,3300,0.33,12,12,0,2183.333
Mimic-Llama,3,4600,5400,0.54,12,12,0,2183.333
Mimic-Opus,2,5150,4850,0.485,12,12,0,2183.333
Mimic-Pro,2,6600,3400,0.34,12,12,0,2183.333
