Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1400,1400,250,1300,800,1200
painting_2,sold,Math-T1,2700,2700,1000,2600,1300,1500
painting_3,sold,Mimic-Llama,6000,5500,1100,6000,1300,2200
painting_4,sold,Math-T1,2500,2500,2400,1600,1900,1500
painting_5,sold,Mimic-Llama,3500,3000,2300,3500,2600,1500
painting_6,sold,Math-T1,3000,3000,2200,450,2900,2000
painting_7,sold,Mimic-Opus,4050,250,3550,500,4050,2850
painting_8,sold,Mimic-Grok,2300,200,2300,450,2200,400
painting_9,sold,Mimic-Pro,5750,200,5500,450,3000,5750
painting_10,sold,Mimic-Grok,4500,200,4500,450,4250,100
painting_11,sold,Mimic-Opus,4250,200,2800,500,4250,3750
painting_12,sold,Mimic-Pro,3000,300,2800,250,1700,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,4,400,9600,0.96,12,12,0,3579.167
Mimic-Grok,2,3200,6800,0.68,12,12,0,3579.167
Mimic-Llama,2,500,9500,0.95,12,12,0,3579.167
Mimic-Opus,2,1700,8300,0.83,12,12,0,3579.167
Mimic-Pro,2,1250,8750,0.875,12,12,0,3579.167
