Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1600,1200,,1600,800,1500
painting_2,sold,Mimic-Opus,1200,1100,500,650,1200,950
painting_3,sold,Mimic-Pro,1400,850,800,1300,750,1400
painting_4,sold,Mimic-Llama,1250,1150,750,1250,700,900
painting_5,sold,Mimic-Grok,1800,1300,1800,1600,1700,1000
painting_6,sold,Mimic-Llama,2200,1900,,2200,400,850
painting_7,sold,Mimic-GPT-5.4,1900,1900,250,1600,1400,1700
painting_8,sold,Mimic-GPT-5.4,1900,1900,,1200,1800,1700
painting_9,sold,Mimic-Opus,1950,1650,150,1750,1950,950
painting_10,sold,Mimic-Pro,2300,2000,750,2100,1900,2300
painting_11,sold,Mimic-Grok,5000,2700,5000,2900,2500,4500
painting_12,sold,Mimic-GPT-5.4,5600,5600,200,2900,5350,4100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,3,600,9400,0.94,12,12,0,2341.667
Mimic-Grok,2,3200,6800,0.68,12,12,0,2341.667
Mimic-Llama,3,4950,5050,0.505,12,12,0,2341.667
Mimic-Opus,2,6850,3150,0.315,12,12,0,2341.667
Mimic-Pro,2,6300,3700,0.37,12,12,0,2341.667
