Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1700,1700,550,1600,600,
painting_2,sold,Mimic-Llama,1900,1800,250,1900,800,1600
painting_3,sold,Math-T5,1550,1550,850,1250,1450,1050
painting_4,sold,Mimic-Llama,2300,2000,250,2300,2200,1600
painting_5,sold,Math-T5,2000,2000,1700,1600,1900,1500
painting_6,sold,Math-T5,2800,2800,2000,2600,2700,1800
painting_7,sold,Mimic-Llama,2250,600,1750,2250,850,2150
painting_8,sold,Mimic-Opus,3800,600,2450,3550,3800,2250
painting_9,sold,Mimic-Pro,4000,1500,3750,3000,2100,4000
painting_10,sold,Mimic-Grok,3800,,3800,3550,2600,1500
painting_11,sold,Mimic-Grok,6200,,6200,3500,5000,5500
painting_12,sold,Mimic-Opus,3550,,,3300,3550,2250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,1950,8050,0.805,12,12,0,2987.5
Mimic-Grok,2,0,10000,1.0,12,12,0,2987.5
Mimic-Llama,3,3550,6450,0.645,12,12,0,2987.5
Mimic-Opus,2,2650,7350,0.735,12,12,0,2987.5
Mimic-Pro,1,6000,4000,0.4,12,12,0,2987.5
