Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1100,1100,600,750,850,1000
painting_2,sold,Mimic-Llama,1900,1800,1000,1900,1100,1200
painting_3,sold,Math-T5,1400,1400,1100,1300,1200,400
painting_4,sold,Mimic-Llama,2100,1700,500,2100,2000,1100
painting_5,sold,Math-T5,1700,1700,1300,1100,1400,1600
painting_6,sold,Mimic-Llama,3500,3000,1800,3500,3250,2400
painting_7,sold,Math-T5,2800,2800,900,500,2700,2000
painting_8,sold,Mimic-Opus,4100,2800,2900,2300,4100,3600
painting_9,sold,Mimic-Grok,3500,2900,3500,2100,1900,3250
painting_10,sold,Mimic-Pro,3000,2900,2100,2400,2200,3000
painting_11,sold,Mimic-Pro,5000,,3750,2500,4750,5000
painting_12,sold,Mimic-Grok,5700,2900,5700,2500,5450,1200

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,3000,7000,0.7,12,12,0,2983.333
Mimic-Grok,2,800,9200,0.92,12,12,0,2983.333
Mimic-Llama,3,2500,7500,0.75,12,12,0,2983.333
Mimic-Opus,1,5900,4100,0.41,12,12,0,2983.333
Mimic-Pro,2,2000,8000,0.8,12,12,0,2983.333
