Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1200,1200,1000,950,800,1100
painting_2,sold,Math-T4,2600,2600,1200,2000,2500,1400
painting_3,sold,Mimic-Llama,4750,4500,1300,1200,4750,1700
painting_4,sold,Math-T4,2950,2950,1250,850,2850,1650
painting_5,sold,Mimic-Llama,3750,3250,2000,2900,3750,2100
painting_6,sold,Math-T4,3250,3250,3000,1900,1100,2100
painting_7,sold,Mimic-GPT-5.4,4800,,4800,4550,1050,2450
painting_8,sold,Mimic-Pro,3550,,3300,2850,1150,3550
painting_9,sold,Mimic-Grok,4850,,3850,4850,1500,4600
painting_10,sold,Mimic-GPT-5.4,5000,,5000,4500,1200,
painting_11,sold,Mimic-Pro,5400,,150,5150,1500,5400
painting_12,sold,Mimic-Grok,1600,,150,1600,1500,900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,0,10000,1.0,12,12,0,3641.667
Mimic-GPT-5.4,2,200,9800,0.98,12,12,0,3641.667
Mimic-Grok,2,3550,6450,0.645,12,12,0,3641.667
Mimic-Llama,2,1500,8500,0.85,12,12,0,3641.667
Mimic-Pro,2,1050,8950,0.895,12,12,0,3641.667
