Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,900,850,750,350,650,900
painting_2,sold,Mimic-Llama,1500,850,1100,950,1500,1300
painting_3,sold,Mimic-Llama,1100,950,800,300,1100,200
painting_4,sold,Mimic-GPT-5.4,1300,1100,1300,1200,900,1000
painting_5,sold,Mimic-Grok,1300,1200,1100,1300,1000,800
painting_6,sold,Mimic-Llama,1750,1250,1450,900,1750,1550
painting_7,sold,Mimic-Grok,1700,1600,1500,1700,1000,850
painting_8,sold,Mimic-GPT-5.4,2150,1950,2150,650,2050,1850
painting_9,sold,Mimic-Llama,2700,2500,1900,700,2700,2400
painting_10,sold,Math-T2,3000,3000,2900,950,1400,2700
painting_11,sold,Math-T2,2650,2650,2550,400,1850,300
painting_12,sold,Mimic-Pro,4750,3750,4500,2600,2000,4750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,4350,5650,0.565,12,12,0,2066.667
Mimic-GPT-5.4,2,6550,3450,0.345,12,12,0,2066.667
Mimic-Grok,2,7000,3000,0.3,12,12,0,2066.667
Mimic-Llama,4,2950,7050,0.705,12,12,0,2066.667
Mimic-Pro,2,4350,5650,0.565,12,12,0,2066.667
