Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1250,1050,900,1250,850,1150
painting_2,sold,Mimic-Opus,1450,1350,1250,750,1450,1050
painting_3,sold,Mimic-Llama,1300,1100,1000,1300,950,1200
painting_4,sold,Mimic-GPT-5.4,1300,1300,650,500,550,1200
painting_5,sold,Mimic-Pro,1000,950,900,800,850,1000
painting_6,sold,Mimic-GPT-5.4,1600,1600,1500,1300,1400,1100
painting_7,sold,Mimic-Grok,2000,1100,2000,1900,1500,1300
painting_8,sold,Mimic-Llama,1800,750,950,1800,1700,1500
painting_9,sold,Mimic-Opus,2600,1700,500,1500,2600,2400
painting_10,sold,Mimic-Llama,2900,2800,2400,2900,950,1300
painting_11,sold,Mimic-Grok,3750,3500,3750,2000,2200,700
painting_12,sold,Mimic-Opus,5750,5500,,2500,5750,5000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,7100,2900,0.29,12,12,0,2225.0
Mimic-Grok,2,4250,5750,0.575,12,12,0,2225.0
Mimic-Llama,4,2750,7250,0.725,12,12,0,2225.0
Mimic-Opus,3,200,9800,0.98,12,12,0,2225.0
Mimic-Pro,1,9000,1000,0.1,12,12,0,2225.0
