Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1500,1500,950,1000,1400,800
painting_2,sold,Math-T1,3750,3750,1200,3500,1600,1000
painting_3,sold,Math-T1,4300,4300,950,4050,1650,1250
painting_4,sold,Mimic-Llama,1950,350,1550,1950,1850,1750
painting_5,sold,Mimic-Llama,3050,450,1950,3050,2950,750
painting_6,sold,Mimic-Llama,3250,350,3000,3250,2800,2300
painting_7,sold,Mimic-Opus,4500,350,4250,850,4500,2600
painting_8,sold,Mimic-GPT-5.4,4000,300,4000,1500,2000,3500
painting_9,sold,Mimic-GPT-5.4,4900,400,4900,1350,2550,4650
painting_10,sold,Mimic-Pro,5500,300,1100,1600,5250,5500
painting_11,sold,Mimic-Opus,4350,350,1100,1500,4350,4100
painting_12,sold,Mimic-Pro,1850,400,950,1750,850,1850

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,450,9550,0.955,12,12,0,3575.0
Mimic-GPT-5.4,2,1100,8900,0.89,12,12,0,3575.0
Mimic-Llama,3,1750,8250,0.825,12,12,0,3575.0
Mimic-Opus,2,1150,8850,0.885,12,12,0,3575.0
Mimic-Pro,2,2650,7350,0.735,12,12,0,3575.0
