Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Math-T3,max_bid_Opus,max_bid_Pro
painting_1,sold,Pro,800,700,,650,750,800
painting_2,sold,Math-T3,950,900,,950,750,800
painting_3,sold,GPT-5.4,1200,1200,900,800,1100,750
painting_4,sold,Opus,1100,850,900,800,1100,1000
painting_5,sold,Pro,1200,850,900,1100,950,1200
painting_6,sold,Math-T3,1500,1400,900,1500,950,1000
painting_7,sold,Grok,1600,1500,1600,1100,1400,1000
painting_8,sold,Opus,1800,1700,1300,1600,1800,1500
painting_9,sold,GPT-5.4,2100,2100,1800,2000,1400,1900
painting_10,sold,Math-T3,2600,2000,900,2600,1700,2500
painting_11,sold,Pro,7101,100,150,,200,7101
painting_12,sold,Grok,6950,6700,6950,,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,6700,3300,0.33,12,12,0,2408.417
Grok,2,1450,8550,0.855,12,12,0,2408.417
Math-T3,3,4950,5050,0.505,12,12,0,2408.417
Opus,2,7100,2900,0.29,12,12,0,2408.417
Pro,3,899,9101,0.91,12,12,0,2408.417
