Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T1,1000,1000,750,700,950,600
painting_2,sold,Math-T1,4750,4750,1200,800,4500,1000
painting_3,sold,Mimic-Llama,4500,4250,1300,850,4500,1500
painting_4,sold,Math-T1,3750,3750,1300,1800,3500,2100
painting_5,sold,Mimic-Llama,2900,400,2200,1900,2900,2700
painting_6,sold,Mimic-Opus,3500,450,3000,2800,2600,3500
painting_7,sold,Mimic-GPT-5.4,2600,450,2600,250,2500,2300
painting_8,sold,Mimic-Grok,3500,500,3000,3500,2400,2500
painting_9,sold,Mimic-GPT-5.4,3900,200,3900,3150,1250,3650
painting_10,sold,Mimic-Opus,4350,450,3350,4100,2400,4350
painting_11,sold,Mimic-GPT-5.4,2800,400,2800,2100,2600,1900
painting_12,sold,Mimic-Grok,2700,450,600,2700,2600,1800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,500,9500,0.95,12,12,0,3354.167
Mimic-GPT-5.4,3,700,9300,0.93,12,12,0,3354.167
Mimic-Grok,2,3800,6200,0.62,12,12,0,3354.167
Mimic-Llama,2,2600,7400,0.74,12,12,0,3354.167
Mimic-Opus,2,2150,7850,0.785,12,12,0,3354.167
