Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1200,350,100,1200,1100,
painting_2,sold,Opus,1100,350,100,1000,1100,
painting_3,sold,Grok,500,450,500,250,,200
painting_4,sold,Opus,550,500,,,550,200
painting_5,sold,GPT-5.4,400,400,350,200,,
painting_6,sold,GPT-5.4,600,600,100,400,550,
painting_7,sold,Llama,900,850,600,900,150,
painting_8,sold,GPT-5.4,750,750,100,250,700,
painting_9,sold,Llama,550,200,500,550,150,250
painting_10,sold,GPT-5.4,550,550,500,250,150,
painting_11,sold,Grok,8301,600,8301,250,550,
painting_12,sold,Opus,7950,7700,,7950,7950,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,4,7700,2300,0.23,12,12,0,1945.917
Grok,2,1199,8801,0.88,12,12,0,1945.917
Llama,3,7350,2650,0.265,12,12,0,1945.917
Opus,3,400,9600,0.96,12,12,0,1945.917
Pro,0,10000,0,0.0,12,12,0,1945.917
