Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1800,1800,950,1500,900,1700
painting_2,sold,Mimic-Llama,2400,1600,800,2400,1000,2200
painting_3,sold,Mimic-Opus,1950,1850,1250,600,1950,1050
painting_4,sold,Math-T5,1450,1450,1350,850,1150,1050
painting_5,sold,Math-T5,2250,2250,1650,2150,1150,2050
painting_6,sold,Mimic-Llama,3500,3250,1900,3500,1100,100
painting_7,sold,Math-T5,4300,4300,3050,4050,2850,2750
painting_8,sold,Mimic-Llama,2700,,2400,2700,750,2600
painting_9,sold,Mimic-GPT-5.4,5000,,5000,1400,4750,3000
painting_10,sold,Mimic-Opus,6500,,4750,1100,6500,6250
painting_11,sold,Mimic-GPT-5.4,1800,,1800,1000,1300,1700
painting_12,sold,Mimic-Pro,3250,,3000,1200,1500,3250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,200,9800,0.98,12,12,0,3075.0
Mimic-GPT-5.4,2,3200,6800,0.68,12,12,0,3075.0
Mimic-Llama,3,1400,8600,0.86,12,12,0,3075.0
Mimic-Opus,2,1550,8450,0.845,12,12,0,3075.0
Mimic-Pro,1,6750,3250,0.325,12,12,0,3075.0
