Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1400,1400,750,1000,1300,950
painting_2,sold,Mimic-Llama,2000,1700,1000,2000,1200,1800
painting_3,sold,Math-T5,1500,1500,1000,1100,1200,1400
painting_4,sold,Mimic-Llama,2500,2000,1300,2500,2400,1700
painting_5,sold,Math-T5,2050,2050,1650,1150,1950,1450
painting_6,sold,Mimic-Llama,4250,3250,2000,4250,4000,1800
painting_7,sold,Math-T5,3250,3250,3000,650,2700,2500
painting_8,sold,Mimic-GPT-5.4,5250,350,5250,1100,5000,
painting_9,sold,Mimic-Pro,3750,600,3500,1200,950,3750
painting_10,sold,Mimic-Opus,4250,,4000,1000,4250,
painting_11,sold,Mimic-Pro,5600,,4350,1100,5350,5600
painting_12,sold,Mimic-Opus,4650,,4400,1050,4650,500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,1800,8200,0.82,12,12,0,3370.833
Mimic-GPT-5.4,1,4750,5250,0.525,12,12,0,3370.833
Mimic-Llama,3,1250,8750,0.875,12,12,0,3370.833
Mimic-Opus,2,1100,8900,0.89,12,12,0,3370.833
Mimic-Pro,2,650,9350,0.935,12,12,0,3370.833
