Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1400,1400,1300,100,750,950
painting_2,sold,Mimic-Pro,1300,,1200,900,1000,1300
painting_3,sold,Math-T5,1400,1400,950,450,1300,850
painting_4,sold,Mimic-Opus,2000,1900,1400,1100,2000,850
painting_5,sold,Math-T5,2000,2000,1900,1400,1200,800
painting_6,sold,Math-T5,1700,1700,1500,1600,1300,1200
painting_7,sold,Math-T5,2700,2700,1900,2600,900,2500
painting_8,sold,Mimic-GPT-5.4,2700,600,2700,2600,1800,2100
painting_9,sold,Mimic-Grok,3050,150,2950,3050,1850,2150
painting_10,sold,Mimic-GPT-5.4,3750,,3750,950,2800,3500
painting_11,sold,Mimic-Pro,5800,,2550,2650,5550,5800
painting_12,sold,Mimic-Opus,7150,150,2950,6900,7150,1850

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,5,800,9200,0.92,12,12,0,2912.5
Mimic-GPT-5.4,2,3550,6450,0.645,12,12,0,2912.5
Mimic-Grok,1,6950,3050,0.305,12,12,0,2912.5
Mimic-Opus,2,850,9150,0.915,12,12,0,2912.5
Mimic-Pro,2,2900,7100,0.71,12,12,0,2912.5
