Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1750,1750,750,950,1650,1450
painting_2,sold,Math-T1,3250,3250,1700,3000,1500,1200
painting_3,sold,Mimic-Llama,5000,4750,1200,5000,1700,1100
painting_4,sold,Math-T1,3000,3000,1200,1800,2900,1900
painting_5,sold,Mimic-Llama,4250,1500,2100,4250,4000,2500
painting_6,sold,Mimic-Opus,2600,2000,2500,650,2600,2300
painting_7,sold,Mimic-Grok,2900,1600,2900,650,2500,2600
painting_8,sold,Mimic-Opus,2900,2000,2800,700,2900,2700
painting_9,sold,Mimic-Pro,2800,1900,2700,650,900,2800
painting_10,sold,Mimic-Grok,7100,1700,7100,650,2800,6850
painting_11,sold,Mimic-Pro,4500,2000,,600,4250,4500
painting_12,sold,Mimic-Opus,2900,1800,,600,2900,2700

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,2000,8000,0.8,12,12,0,3579.167
Mimic-Grok,2,0,10000,1.0,12,12,0,3579.167
Mimic-Llama,2,750,9250,0.925,12,12,0,3579.167
Mimic-Opus,3,1600,8400,0.84,12,12,0,3579.167
Mimic-Pro,2,2700,7300,0.73,12,12,0,3579.167
