Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1400,,950,1400,1100,1000
painting_2,sold,Math-T5,1900,1900,1000,500,1500,1800
painting_3,sold,Mimic-Llama,1600,,1200,1600,1400,1300
painting_4,sold,Mimic-Opus,2600,2500,1400,650,2600,2100
painting_5,sold,Math-T5,1900,1900,1500,1800,850,1600
painting_6,sold,Math-T5,2100,2100,1900,1100,1000,2000
painting_7,sold,Mimic-Llama,4250,3750,2400,4250,1300,2000
painting_8,sold,Math-T5,3750,3750,3500,950,3250,2900
painting_9,sold,Mimic-GPT-5.4,3800,,3800,2250,2850,3550
painting_10,sold,Mimic-GPT-5.4,2950,,2950,2750,1900,
painting_11,sold,Mimic-Pro,7300,,2850,2750,6800,7300
painting_12,sold,Mimic-Opus,3750,,3250,2500,3750,2700

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,350,9650,0.965,12,12,0,3108.333
Mimic-GPT-5.4,2,3250,6750,0.675,12,12,0,3108.333
Mimic-Llama,3,2750,7250,0.725,12,12,0,3108.333
Mimic-Opus,2,3650,6350,0.635,12,12,0,3108.333
Mimic-Pro,1,2700,7300,0.73,12,12,0,3108.333
