Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1200,1000,950,1200,700,900
painting_2,sold,Mimic-Opus,1000,900,850,750,1000,800
painting_3,sold,Mimic-GPT-5.4,1600,1600,1000,1200,800,1500
painting_4,sold,Mimic-Grok,1800,900,1800,1600,1000,1700
painting_5,sold,Mimic-Llama,1700,1000,950,1700,1100,1600
painting_6,sold,Mimic-Llama,1800,1200,350,1800,950,1700
painting_7,sold,Mimic-Pro,1950,1850,850,1050,1550,1950
painting_8,sold,Mimic-GPT-5.4,2900,2900,2800,1400,2000,2600
painting_9,sold,Mimic-Opus,2500,1300,2200,2000,2500,2400
painting_10,sold,Mimic-Grok,2900,2500,2900,2800,2100,250
painting_11,sold,Mimic-Pro,4750,3500,4250,4500,2300,4750
painting_12,sold,Mimic-Opus,5150,4650,1550,4150,5150,1250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,5500,4500,0.45,12,12,0,2437.5
Mimic-Grok,2,5300,4700,0.47,12,12,0,2437.5
Mimic-Llama,3,5300,4700,0.47,12,12,0,2437.5
Mimic-Opus,3,1350,8650,0.865,12,12,0,2437.5
Mimic-Pro,2,3300,6700,0.67,12,12,0,2437.5
