Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1100,750,1000,300,1100,900
painting_2,sold,Mimic-Grok,1200,850,1100,1200,900,1000
painting_3,sold,Mimic-Pro,1600,750,1400,350,1100,1600
painting_4,sold,Mimic-Llama,1400,950,1200,350,1400,850
painting_5,sold,Mimic-Pro,1500,1200,1100,1400,850,1500
painting_6,sold,Mimic-GPT-5.4,1500,1200,1500,900,1300,1000
painting_7,sold,Mimic-Llama,2100,1600,1000,1900,2100,1500
painting_8,sold,Mimic-GPT-5.4,2100,2000,2100,1500,950,1200
painting_9,sold,Mimic-Llama,2600,2500,2200,2000,2600,2100
painting_10,sold,Math-T2,2600,2600,2500,2200,1400,1000
painting_11,sold,Math-T2,3000,3000,2900,1500,1400,600
painting_12,sold,Mimic-Grok,4800,4050,4550,4800,1850,2950

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,4400,5600,0.56,12,12,0,2125.0
Mimic-GPT-5.4,2,6400,3600,0.36,12,12,0,2125.0
Mimic-Grok,2,4000,6000,0.6,12,12,0,2125.0
Mimic-Llama,4,2800,7200,0.72,12,12,0,2125.0
Mimic-Pro,2,6900,3100,0.31,12,12,0,2125.0
