Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T1,1300,1300,1100,450,1200,800
painting_2,sold,Math-T1,2900,2900,1000,800,2800,1200
painting_3,sold,Mimic-Llama,5750,5500,1000,750,5750,1600
painting_4,sold,Math-T1,2500,2500,1500,1600,2400,2200
painting_5,sold,Mimic-Llama,3500,3000,2000,2700,3500,2900
painting_6,sold,Mimic-Opus,3250,3000,2400,2000,550,3250
painting_7,sold,Mimic-Grok,3850,2700,3600,3850,750,2000
painting_8,sold,Mimic-GPT-5.4,3250,3000,3250,900,650,1900
painting_9,sold,Mimic-Grok,5000,3250,4250,5000,600,4750
painting_10,sold,Mimic-GPT-5.4,3100,2900,3100,450,750,2800
painting_11,sold,Mimic-Opus,3750,3250,3500,450,700,3750
painting_12,sold,Mimic-GPT-5.4,3500,3250,3500,150,600,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,3300,6700,0.67,12,12,0,3470.833
Mimic-GPT-5.4,3,150,9850,0.985,12,12,0,3470.833
Mimic-Grok,2,1150,8850,0.885,12,12,0,3470.833
Mimic-Llama,2,750,9250,0.925,12,12,0,3470.833
Mimic-Opus,2,3000,7000,0.7,12,12,0,3470.833
