Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1400,700,1200,250,1100,1400
painting_2,sold,Mimic-Llama,1200,850,1100,900,1200,
painting_3,sold,Mimic-Llama,1300,950,900,1000,1300,1100
painting_4,sold,Math-T3,1300,1300,1200,650,500,750
painting_5,sold,Mimic-Grok,1700,1200,1600,1700,1000,1500
painting_6,sold,Mimic-Llama,2100,1400,1900,1500,2100,1000
painting_7,sold,Mimic-GPT-5.4,2250,2150,2250,900,1050,950
painting_8,sold,Math-T3,2100,2100,1800,1600,1300,2000
painting_9,sold,Mimic-GPT-5.4,2600,1800,2600,1900,1600,2500
painting_10,sold,Mimic-Grok,4750,4250,1800,4750,1700,4000
painting_11,sold,Math-T3,5500,5500,3500,,4750,5250
painting_12,sold,Mimic-Llama,5400,850,4900,,5400,4150

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1100,8900,0.89,12,12,0,2633.333
Mimic-GPT-5.4,2,5150,4850,0.485,12,12,0,2633.333
Mimic-Grok,2,3550,6450,0.645,12,12,0,2633.333
Mimic-Llama,4,0,10000,1.0,12,12,0,2633.333
Mimic-Pro,1,8600,1400,0.14,12,12,0,2633.333
