Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1500,1500,850,400,1400,750
painting_2,sold,Math-T4,3250,3250,1000,850,3000,1400
painting_3,sold,Mimic-Llama,4750,4250,1500,2000,4750,2200
painting_4,sold,Math-T4,3250,3250,1600,2800,3000,2100
painting_5,sold,Mimic-Llama,2500,1700,2300,2200,2500,1400
painting_6,sold,Mimic-Llama,2700,1700,2600,2500,2700,2200
painting_7,sold,Mimic-GPT-5.4,3500,2000,3500,2500,,3000
painting_8,sold,Mimic-Grok,2500,1700,2400,2500,,2300
painting_9,sold,Mimic-Pro,4200,1400,3950,2200,,4200
painting_10,sold,Mimic-GPT-5.4,5000,2000,5000,650,,4500
painting_11,sold,Mimic-Grok,5600,1700,1300,5600,,5350
painting_12,sold,Mimic-Pro,2100,2000,1300,1500,,2100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,2000,8000,0.8,12,12,0,3404.167
Mimic-GPT-5.4,2,1500,8500,0.85,12,12,0,3404.167
Mimic-Grok,2,1900,8100,0.81,12,12,0,3404.167
Mimic-Llama,3,50,9950,0.995,12,12,0,3404.167
Mimic-Pro,2,3700,6300,0.63,12,12,0,3404.167
