Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1750,1750,1150,1650,1250,1350
painting_2,sold,Math-T4,3750,3750,1200,3500,1300,900
painting_3,sold,Mimic-Llama,4250,3750,950,4250,2000,1600
painting_4,sold,Mimic-Llama,4250,4000,2000,4250,2500,1600
painting_5,sold,Math-T4,3750,3750,2400,700,3500,1800
painting_6,sold,Mimic-GPT-5.4,3500,700,3500,1500,3250,1900
painting_7,sold,Mimic-Opus,3500,750,2900,1500,3500,3250
painting_8,sold,Mimic-Opus,4600,750,4350,1200,4600,3850
painting_9,sold,Mimic-Pro,5750,450,5250,1500,950,5750
painting_10,sold,Mimic-GPT-5.4,4250,650,4250,1200,1500,4000
painting_11,sold,Mimic-Pro,2200,450,2100,1300,750,2200
painting_12,sold,Mimic-GPT-5.4,2100,750,2100,1100,1700,2000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,750,9250,0.925,12,12,0,3637.5
Mimic-GPT-5.4,3,150,9850,0.985,12,12,0,3637.5
Mimic-Llama,2,1500,8500,0.85,12,12,0,3637.5
Mimic-Opus,2,1900,8100,0.81,12,12,0,3637.5
Mimic-Pro,2,2050,7950,0.795,12,12,0,3637.5
