Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1650,1650,900,200,1550,1050
painting_2,sold,Math-T1,2800,2800,1200,800,2700,1300
painting_3,sold,Mimic-Llama,5500,5000,1600,950,5500,1700
painting_4,sold,Math-T1,4250,4250,2200,2100,4000,2300
painting_5,sold,Mimic-Llama,3500,950,1500,3000,3500,1900
painting_6,sold,Mimic-GPT-5.4,2400,1200,2400,1700,800,2100
painting_7,sold,Mimic-Grok,3250,1100,2600,3250,1000,3000
painting_8,sold,Mimic-Pro,5250,950,5000,1400,900,5250
painting_9,sold,Mimic-GPT-5.4,4250,1000,4250,2700,950,4000
painting_10,sold,Mimic-Grok,4750,1100,2900,4750,1000,4500
painting_11,sold,Mimic-GPT-5.4,2000,1100,2000,1900,1000,750
painting_12,sold,Mimic-Pro,1700,1100,1300,1500,1000,1700

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,1300,8700,0.87,12,12,0,3441.667
Mimic-GPT-5.4,3,1350,8650,0.865,12,12,0,3441.667
Mimic-Grok,2,2000,8000,0.8,12,12,0,3441.667
Mimic-Llama,2,1000,9000,0.9,12,12,0,3441.667
Mimic-Pro,2,3050,6950,0.695,12,12,0,3441.667
