Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-Llama,850,750,800,500,850,700
painting_2,sold,Mimic-GPT-5.4,1100,700,1100,,950,1000
painting_3,sold,Mimic-Opus,1900,1000,1200,450,1800,1900
painting_4,sold,Mimic-Llama,1300,1000,600,1100,1300,950
painting_5,sold,Mimic-GPT-5.4,1400,1000,1400,1100,850,1300
painting_6,sold,Mimic-Llama,1550,1250,950,1450,1550,1150
painting_7,sold,Mimic-Llama,1800,1500,900,1600,1800,1400
painting_8,sold,Mimic-Grok,2850,1850,1650,2850,1150,2750
painting_9,sold,Math-T2,2300,2300,1900,800,2100,2200
painting_10,sold,Mimic-GPT-5.4,2650,2450,2650,2550,2150,2350
painting_11,sold,Mimic-Opus,4000,3750,2400,2200,2500,4000
painting_12,sold,Math-T2,4600,4600,4350,3850,3100,2600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,3100,6900,0.69,12,12,0,2191.667
Mimic-GPT-5.4,3,4850,5150,0.515,12,12,0,2191.667
Mimic-Grok,1,7150,2850,0.285,12,12,0,2191.667
Mimic-Llama,4,4500,5500,0.55,12,12,0,2191.667
Mimic-Opus,2,4100,5900,0.59,12,12,0,2191.667
