Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,900,650,250,750,700,900
painting_2,sold,Mimic-Llama,1250,800,900,1250,1150,1050
painting_3,sold,Mimic-Llama,1300,700,550,1300,1200,1000
painting_4,sold,Mimic-Llama,2300,1000,300,2300,2100,1300
painting_5,sold,Mimic-Pro,1800,1100,1700,700,1600,1800
painting_6,sold,Mimic-Opus,1700,1400,1600,1000,1700,400
painting_7,sold,Mimic-Grok,1700,1400,1700,900,1600,650
painting_8,sold,Mimic-Llama,2200,2000,500,2200,1800,1200
painting_9,sold,Mimic-Llama,2600,2300,2500,2600,2400,1600
painting_10,sold,Math-T2,2400,2400,1800,350,2300,1100
painting_11,sold,Mimic-Grok,4500,3250,4500,300,4250,3000
painting_12,sold,Mimic-Opus,7500,7250,,300,7500,3250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,1,7600,2400,0.24,12,12,0,2512.5
Mimic-Grok,2,3800,6200,0.62,12,12,0,2512.5
Mimic-Llama,5,350,9650,0.965,12,12,0,2512.5
Mimic-Opus,2,800,9200,0.92,12,12,0,2512.5
Mimic-Pro,2,7300,2700,0.27,12,12,0,2512.5
