Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1450,1450,1350,1050,400,
painting_2,sold,Mimic-Llama,2300,2200,1700,2300,1800,1300
painting_3,sold,Mimic-Opus,2100,2000,1000,950,2100,1600
painting_4,sold,Math-T5,2200,2200,1700,1300,1100,2100
painting_5,sold,Mimic-Llama,2750,2650,1450,2750,1050,1850
painting_6,sold,Math-T5,2450,2450,2050,1950,1750,2350
painting_7,sold,Mimic-Llama,4000,3750,2800,4000,2200,2100
painting_8,sold,Mimic-GPT-5.4,3850,3350,3850,850,2500,2800
painting_9,sold,Mimic-Pro,3750,3500,2900,950,3250,3750
painting_10,sold,Mimic-Opus,4750,,4500,850,4750,950
painting_11,sold,Mimic-Pro,5600,250,5350,850,1400,5600
painting_12,sold,Mimic-GPT-5.4,3500,,3500,750,3000,400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,3,3900,6100,0.61,12,12,0,3225.0
Mimic-GPT-5.4,2,2650,7350,0.735,12,12,0,3225.0
Mimic-Llama,3,950,9050,0.905,12,12,0,3225.0
Mimic-Opus,2,3150,6850,0.685,12,12,0,3225.0
Mimic-Pro,2,650,9350,0.935,12,12,0,3225.0
