Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1300,750,850,1000,600,1300
painting_2,sold,Mimic-Llama,1250,1050,400,1250,1150,
painting_3,sold,Mimic-Llama,1400,1300,1000,1400,1100,900
painting_4,sold,Mimic-Opus,1300,1200,850,650,1300,700
painting_5,sold,Mimic-Pro,1700,1300,1400,1600,950,1700
painting_6,sold,Mimic-Opus,1950,1650,1850,1550,1950,750
painting_7,sold,Mimic-Llama,2800,2700,1700,2800,850,1000
painting_8,sold,Mimic-GPT-5.4,2450,2450,2250,1050,950,1150
painting_9,sold,Mimic-Grok,4100,3600,4100,3100,2500,1600
painting_10,sold,Mimic-GPT-5.4,3650,3650,1850,2450,3400,2950
painting_11,sold,Mimic-Pro,4500,3000,3250,2300,4250,4500
painting_12,sold,Mimic-Opus,4350,3350,500,3850,4350,2300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,3900,6100,0.61,12,12,0,2562.5
Mimic-Grok,1,5900,4100,0.41,12,12,0,2562.5
Mimic-Llama,3,4550,5450,0.545,12,12,0,2562.5
Mimic-Opus,3,2400,7600,0.76,12,12,0,2562.5
Mimic-Pro,3,2500,7500,0.75,12,12,0,2562.5
