Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T4,1350,1350,1050,200,1250,900
painting_2,sold,Math-T4,2050,2050,850,200,1950,1050
painting_3,sold,Mimic-Llama,4750,4250,1300,1600,4750,950
painting_4,sold,Math-T4,1800,1800,1200,1700,1300,1400
painting_5,sold,Mimic-Llama,4750,4500,1900,2400,4750,2200
painting_6,sold,Math-T4,3300,3300,2950,2850,400,3050
painting_7,sold,Mimic-Opus,5750,1100,4250,5250,300,5750
painting_8,sold,Mimic-GPT-5.4,4750,1400,4750,4500,400,1900
painting_9,sold,Mimic-Grok,5250,1500,5000,5250,500,2100
painting_10,sold,Mimic-Opus,2050,1350,1850,1450,350,2050
painting_11,sold,Mimic-GPT-5.4,5250,1300,5250,4750,350,2100
painting_12,sold,Mimic-Grok,2200,1500,,2200,350,2000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,1500,8500,0.85,12,12,0,3604.167
Mimic-GPT-5.4,2,0,10000,1.0,12,12,0,3604.167
Mimic-Grok,2,2550,7450,0.745,12,12,0,3604.167
Mimic-Llama,2,500,9500,0.95,12,12,0,3604.167
Mimic-Opus,2,2200,7800,0.78,12,12,0,3604.167
