Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-Llama,950,800,850,750,950,700
painting_2,sold,Mimic-Opus,1000,900,950,850,700,1000
painting_3,sold,Mimic-Llama,1700,950,1500,300,1700,750
painting_4,sold,Math-T3,1300,1300,1200,700,900,1000
painting_5,sold,Mimic-GPT-5.4,1500,1200,1500,1100,700,1000
painting_6,sold,Mimic-Grok,2100,1100,1500,2100,2000,750
painting_7,sold,Math-T3,1600,1600,1400,550,700,1500
painting_8,sold,Mimic-Opus,2700,1100,2100,1600,2600,2700
painting_9,sold,Mimic-Llama,2200,2000,2100,1900,2200,1800
painting_10,sold,Math-T3,3300,3300,3050,2550,2050,1050
painting_11,sold,Mimic-GPT-5.4,4750,2900,4750,4250,3250,2600
painting_12,sold,Mimic-Opus,4000,3250,3750,2000,1800,4000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,3800,6200,0.62,12,12,0,2258.333
Mimic-GPT-5.4,2,3750,6250,0.625,12,12,0,2258.333
Mimic-Grok,1,7900,2100,0.21,12,12,0,2258.333
Mimic-Llama,3,5150,4850,0.485,12,12,0,2258.333
Mimic-Opus,3,2300,7700,0.77,12,12,0,2258.333
