Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1650,,1250,1550,750,1650
painting_2,sold,Mimic-Llama,2000,1900,1100,2000,1200,600
painting_3,sold,Math-T5,2500,2500,900,1300,2400,1000
painting_4,sold,Math-T5,1900,1900,1700,1100,1800,1500
painting_5,sold,Mimic-Llama,2600,2500,1700,2600,1800,1400
painting_6,sold,Math-T5,2400,2400,2000,850,2300,1400
painting_7,sold,Mimic-Opus,4800,3050,2750,4050,4800,1850
painting_8,sold,Mimic-Llama,4250,2700,4000,4250,2000,3000
painting_9,sold,Mimic-GPT-5.4,4050,2750,4050,800,2250,3550
painting_10,sold,Mimic-Pro,5100,,4600,1000,2400,5100
painting_11,sold,Mimic-GPT-5.4,5000,100,5000,1000,4750,3250
painting_12,sold,Mimic-Opus,3250,,800,950,3250,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,3,3200,6800,0.68,12,12,0,3291.667
Mimic-GPT-5.4,2,950,9050,0.905,12,12,0,3291.667
Mimic-Llama,3,1150,8850,0.885,12,12,0,3291.667
Mimic-Opus,2,1950,8050,0.805,12,12,0,3291.667
Mimic-Pro,2,3250,6750,0.675,12,12,0,3291.667
