Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1300,1200,,900,1300,950
painting_2,sold,Mimic-Llama,1500,1100,100,1500,1200,1400
painting_3,sold,Mimic-Pro,1300,1100,1000,850,550,1300
painting_4,sold,Mimic-Pro,1500,1300,1200,1000,1400,1500
painting_5,sold,Mimic-Llama,2000,1400,1200,2000,950,1800
painting_6,sold,Mimic-Opus,2000,1800,1500,1300,2000,1400
painting_7,sold,Mimic-Llama,2600,2500,1900,2600,700,1100
painting_8,sold,Mimic-Grok,3050,2950,3050,1450,900,1050
painting_9,sold,Mimic-GPT-5.4,3000,3000,500,2900,2000,2200
painting_10,sold,Mimic-Grok,3000,2900,3000,2500,2000,1300
painting_11,sold,Mimic-Pro,5000,4750,1600,2800,2700,5000
painting_12,sold,Mimic-GPT-5.4,5350,5350,1800,3100,5100,1600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,1650,8350,0.835,12,12,0,2633.333
Mimic-Grok,2,3950,6050,0.605,12,12,0,2633.333
Mimic-Llama,3,3900,6100,0.61,12,12,0,2633.333
Mimic-Opus,2,6700,3300,0.33,12,12,0,2633.333
Mimic-Pro,3,2200,7800,0.78,12,12,0,2633.333
