Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,950,700,950,200,900,800
painting_2,sold,Mimic-Opus,1400,950,1000,1300,1400,1100
painting_3,sold,Mimic-Pro,1200,1100,950,850,600,1200
painting_4,sold,Math-T3,1000,1000,950,550,600,800
painting_5,sold,Mimic-GPT-5.4,1200,1100,1200,850,600,1000
painting_6,sold,Mimic-Grok,1700,1400,1000,1700,1300,1500
painting_7,sold,Mimic-Grok,2200,1900,1500,2200,1800,2000
painting_8,sold,Math-T3,2050,2050,1250,200,1750,1950
painting_9,sold,Mimic-Pro,2200,1600,2000,900,1900,2200
painting_10,sold,Math-T3,3350,3350,3100,1400,2800,1800
painting_11,sold,Mimic-Opus,4500,2500,4000,1200,4500,2800
painting_12,sold,Mimic-GPT-5.4,4250,3250,4250,2600,2700,3750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,3600,6400,0.64,12,12,0,2166.667
Mimic-GPT-5.4,3,3600,6400,0.64,12,12,0,2166.667
Mimic-Grok,2,6100,3900,0.39,12,12,0,2166.667
Mimic-Opus,2,4100,5900,0.59,12,12,0,2166.667
Mimic-Pro,2,6600,3400,0.34,12,12,0,2166.667
