Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1400,750,900,600,1400,1200
painting_2,sold,Math-T2,750,750,700,650,600,500
painting_3,sold,Mimic-GPT-5.4,1100,750,1100,850,800,1000
painting_4,sold,Mimic-Pro,1500,900,1300,1100,1000,1500
painting_5,sold,Mimic-Pro,1500,900,1100,1400,1300,1500
painting_6,sold,Mimic-Llama,2000,1000,900,1800,2000,950
painting_7,sold,Mimic-Llama,2400,1300,1800,2300,2400,1200
painting_8,sold,Mimic-GPT-5.4,1900,1700,1900,1500,1800,600
painting_9,sold,Mimic-Grok,2700,2400,2100,2700,1900,1700
painting_10,sold,Math-T2,2450,2450,2150,2350,600,1850
painting_11,sold,Math-T2,3000,3000,2900,2700,2500,750
painting_12,sold,Mimic-Grok,5550,3800,5300,5550,4050,4800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,3800,6200,0.62,12,12,0,2187.5
Mimic-GPT-5.4,2,7000,3000,0.3,12,12,0,2187.5
Mimic-Grok,2,1750,8250,0.825,12,12,0,2187.5
Mimic-Llama,3,4200,5800,0.58,12,12,0,2187.5
Mimic-Pro,2,7000,3000,0.3,12,12,0,2187.5
