Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1200,800,1000,1100,900,1200
painting_2,sold,Math-T2,950,950,900,500,800,850
painting_3,sold,Mimic-Opus,1500,750,1000,800,1500,1400
painting_4,sold,Mimic-GPT-5.4,1300,1000,1300,1100,1200,900
painting_5,sold,Mimic-GPT-5.4,1200,1000,1200,1100,900,600
painting_6,sold,Mimic-Grok,1300,1200,850,1300,1100,
painting_7,sold,Mimic-Pro,1800,1500,1400,1600,1700,1800
painting_8,sold,Mimic-Opus,1900,1800,950,1100,1900,1500
painting_9,sold,Math-T2,1900,1900,1800,1500,700,
painting_10,sold,Mimic-Pro,2800,2500,2400,2600,1400,2800
painting_11,sold,Math-T2,3550,3550,2950,3300,2850,1950
painting_12,sold,Mimic-GPT-5.4,4250,3500,4250,3750,4000,900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,3600,6400,0.64,12,12,0,1970.833
Mimic-GPT-5.4,3,3250,6750,0.675,12,12,0,1970.833
Mimic-Grok,1,8700,1300,0.13,12,12,0,1970.833
Mimic-Opus,2,6600,3400,0.34,12,12,0,1970.833
Mimic-Pro,3,4200,5800,0.58,12,12,0,1970.833
