Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Grok,max_bid_Llama,max_bid_Math-T2,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,950,650,950,850,700,900
painting_2,sold,Llama,950,700,950,900,750,800
painting_3,sold,Pro,1000,150,700,900,950,1000
painting_4,sold,Opus,1300,1200,800,1100,1300,1000
painting_5,sold,Llama,1300,1200,1300,1100,700,950
painting_6,sold,Grok,1500,1500,1100,1400,950,1000
painting_7,sold,Pro,1700,1300,1100,1600,1400,1700
painting_8,sold,Math-T2,1900,1700,1800,1900,1400,1000
painting_9,sold,Opus,2300,2200,2000,2100,2300,1500
painting_10,sold,Grok,2900,2900,2300,2800,950,2200
painting_11,sold,Math-T2,4250,2800,4000,4250,2900,3000
painting_12,sold,Pro,7300,150,,100,6400,7300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Grok,2,5600,4400,0.44,12,12,0,2279.167
Llama,3,6800,3200,0.32,12,12,0,2279.167
Math-T2,2,3850,6150,0.615,12,12,0,2279.167
Opus,2,6400,3600,0.36,12,12,0,2279.167
Pro,3,0,10000,1.0,12,12,0,2279.167
