Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1050,800,950,650,600,1050
painting_2,sold,Mimic-Opus,1300,900,850,1200,1300,1000
painting_3,sold,Mimic-GPT-5.4,1100,950,1100,1000,450,750
painting_4,sold,Math-T3,950,950,150,900,300,850
painting_5,sold,Mimic-Grok,1800,900,1200,1800,1700,1500
painting_6,sold,Mimic-Pro,1450,1250,900,400,1150,1450
painting_7,sold,Math-T3,1800,1800,1700,800,1300,
painting_8,sold,Mimic-GPT-5.4,1900,1400,1900,1800,1700,1500
painting_9,sold,Mimic-Opus,3000,1900,2300,2200,3000,2900
painting_10,sold,Math-T3,2700,2700,1900,2600,1600,1500
painting_11,sold,Mimic-Grok,4400,2950,2850,4400,950,4150
painting_12,sold,Mimic-Pro,4750,4500,4250,350,4000,4750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,4550,5450,0.545,12,12,0,2183.333
Mimic-GPT-5.4,2,7000,3000,0.3,12,12,0,2183.333
Mimic-Grok,2,3800,6200,0.62,12,12,0,2183.333
Mimic-Opus,2,5700,4300,0.43,12,12,0,2183.333
Mimic-Pro,3,2750,7250,0.725,12,12,0,2183.333
