Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1000,600,100,1000,850,250
painting_2,sold,Opus,1100,1000,100,700,1100,250
painting_3,sold,Grok,1100,250,1100,,,
painting_4,sold,GPT-5.4,600,600,100,,550,
painting_5,sold,Llama,800,350,100,800,550,
painting_6,sold,GPT-5.4,850,850,100,,800,250
painting_7,sold,Opus,900,800,100,850,900,250
painting_8,sold,GPT-5.4,750,750,350,250,700,
painting_9,sold,Opus,650,200,400,,650,600
painting_10,sold,Llama,800,750,100,800,,
painting_11,sold,GPT-5.4,1200,1200,1100,650,150,
painting_12,sold,Grok,7650,6600,7650,7900,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,4,6600,3400,0.34,12,12,0,1450.0
Grok,2,1250,8750,0.875,12,12,0,1450.0
Llama,3,7400,2600,0.26,12,12,0,1450.0
Opus,3,7350,2650,0.265,12,12,0,1450.0
Pro,0,10000,0,0.0,12,12,0,1450.0
