Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1300,1300,1200,350,1000,800
painting_2,sold,Math-T4,3250,3250,1700,1900,3000,1100
painting_3,sold,Mimic-Llama,4600,4350,1900,2100,4600,1400
painting_4,sold,Math-T4,2800,2800,1400,1600,2700,2000
painting_5,sold,Mimic-Llama,2750,2550,2150,2350,2750,2250
painting_6,sold,Mimic-GPT-5.4,2700,2600,2700,2400,2500,2300
painting_7,sold,Mimic-Grok,2800,2000,2100,2800,2600,2700
painting_8,sold,Mimic-Pro,4350,2500,4100,1300,2400,4350
painting_9,sold,Mimic-Grok,4800,1950,3800,4800,2650,4550
painting_10,sold,Mimic-GPT-5.4,2600,2500,2600,850,2400,1600
painting_11,sold,Mimic-Pro,4650,2650,4400,2350,2550,4650
painting_12,sold,Mimic-GPT-5.4,2650,2550,2650,2050,2450,750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,2650,7350,0.735,12,12,0,3270.833
Mimic-GPT-5.4,3,2050,7950,0.795,12,12,0,3270.833
Mimic-Grok,2,2400,7600,0.76,12,12,0,3270.833
Mimic-Llama,2,2650,7350,0.735,12,12,0,3270.833
Mimic-Pro,2,1000,9000,0.9,12,12,0,3270.833
