Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1700,1700,150,950,1600,1500
painting_2,sold,Math-T1,2800,2800,1200,2700,1700,1100
painting_3,sold,Mimic-Llama,5500,5250,1100,5500,1400,1600
painting_4,sold,Math-T1,4750,4750,1800,4500,3500,2300
painting_5,sold,Mimic-Llama,3500,600,2300,3500,3000,2200
painting_6,sold,Mimic-Opus,4650,550,4400,750,4650,1550
painting_7,sold,Mimic-Pro,2000,600,750,900,1900,2000
painting_8,sold,Mimic-Grok,2450,650,2450,900,1850,2350
painting_9,sold,Mimic-Pro,2900,550,2600,950,2700,2900
painting_10,sold,Mimic-Opus,5000,600,1800,850,5000,4750
painting_11,sold,Mimic-Grok,5000,600,5000,950,350,4500
painting_12,sold,Mimic-Pro,1000,700,150,950,250,1000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,750,9250,0.925,12,12,0,3437.5
Mimic-Grok,2,2550,7450,0.745,12,12,0,3437.5
Mimic-Llama,2,1000,9000,0.9,12,12,0,3437.5
Mimic-Opus,2,350,9650,0.965,12,12,0,3437.5
Mimic-Pro,3,4100,5900,0.59,12,12,0,3437.5
