Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,2000,,100,2000,700,
painting_2,sold,Opus,550,,500,250,550,200
painting_3,sold,GPT-5.4,250,250,200,,,
painting_4,sold,GPT-5.4,900,900,100,700,850,
painting_5,sold,Llama,150,,100,150,,
painting_6,sold,Opus,400,,350,200,400,
painting_7,sold,Llama,300,,100,300,,250
painting_8,sold,Llama,600,,500,600,,
painting_9,sold,Llama,1300,1200,250,1300,,
painting_10,sold,GPT-5.4,5900,5900,100,6150,450,
painting_11,sold,Opus,300,,250,200,300,
painting_12,sold,Grok,10000,,10000,10250,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,3,2950,7050,0.705,12,12,0,1887.5
Grok,1,0,10000,1.0,12,12,0,1887.5
Llama,5,5650,4350,0.435,12,12,0,1887.5
Opus,3,8750,1250,0.125,12,12,0,1887.5
Pro,0,10000,0,0.0,12,12,0,1887.5
