Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Grok,1200,600,1200,900,1000,1100
painting_2,sold,Mimic-Llama,1700,950,,1700,1100,1500
painting_3,sold,Mimic-Pro,1600,900,350,1300,1500,1600
painting_4,sold,Mimic-Opus,1300,1000,,1200,1300,600
painting_5,sold,Mimic-Llama,1250,1150,650,1250,1050,
painting_6,sold,Mimic-Llama,1500,1400,500,1500,900,1300
painting_7,sold,Mimic-Llama,1900,1500,1000,1900,1800,900
painting_8,sold,Mimic-Opus,2100,1900,1800,700,2100,1700
painting_9,sold,Math-T2,2200,2200,1800,1000,1500,2100
painting_10,sold,Mimic-Grok,3750,2700,3750,950,1900,3500
painting_11,sold,Mimic-Pro,4500,4000,2900,3250,2100,4500
painting_12,sold,Math-T2,4050,4050,600,2350,3800,2550

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,3750,6250,0.625,12,12,0,2254.167
Mimic-Grok,2,5050,4950,0.495,12,12,0,2254.167
Mimic-Llama,4,3650,6350,0.635,12,12,0,2254.167
Mimic-Opus,2,6600,3400,0.34,12,12,0,2254.167
Mimic-Pro,2,3900,6100,0.61,12,12,0,2254.167
