Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T1,1000,1000,850,750,950,300
painting_2,sold,Math-T1,4300,4300,1250,1950,4050,850
painting_3,sold,Mimic-Llama,4750,4500,1200,800,4750,1600
painting_4,sold,Mimic-Llama,5000,4500,1900,1200,5000,1800
painting_5,sold,Math-T1,4250,4250,300,1200,100,4000
painting_6,sold,Mimic-Opus,4750,350,4500,2600,100,4750
painting_7,sold,Mimic-Grok,6250,400,6000,6250,150,2000
painting_8,sold,Mimic-GPT-5.4,2500,350,2500,850,150,2300
painting_9,sold,Mimic-GPT-5.4,5750,300,5750,,100,5250
painting_10,sold,Mimic-Opus,4000,300,1500,3750,100,4000
painting_11,sold,Mimic-Grok,1800,300,1600,1800,100,900
painting_12,sold,Mimic-Grok,1900,350,1700,1900,100,1000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,450,9550,0.955,12,12,0,3854.167
Mimic-GPT-5.4,2,1750,8250,0.825,12,12,0,3854.167
Mimic-Grok,3,50,9950,0.995,12,12,0,3854.167
Mimic-Llama,2,250,9750,0.975,12,12,0,3854.167
Mimic-Opus,2,1250,8750,0.875,12,12,0,3854.167
