Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T4,1000,1000,950,800,750,900
painting_2,sold,Math-T4,3250,3250,900,1300,3000,850
painting_3,sold,Mimic-Llama,4900,4400,1150,1450,4900,1550
painting_4,sold,Mimic-Llama,4800,4300,1550,1950,4800,3050
painting_5,sold,Math-T4,2400,2400,1800,1600,,2300
painting_6,sold,Mimic-Opus,3500,2900,3250,1700,,3500
painting_7,sold,Mimic-GPT-5.4,3500,3000,3500,3250,300,2500
painting_8,sold,Mimic-Grok,4750,3000,2900,4750,300,4500
painting_9,sold,Mimic-GPT-5.4,4050,3050,4050,3300,,3800
painting_10,sold,Mimic-Opus,5500,2900,2200,5250,,5500
painting_11,sold,Mimic-Grok,3250,3000,2400,3250,300,950
painting_12,sold,Math-T4,2450,2450,2350,1850,300,950

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,900,9100,0.91,12,12,0,3612.5
Mimic-GPT-5.4,2,2450,7550,0.755,12,12,0,3612.5
Mimic-Grok,2,2000,8000,0.8,12,12,0,3612.5
Mimic-Llama,2,300,9700,0.97,12,12,0,3612.5
Mimic-Opus,2,1000,9000,0.9,12,12,0,3612.5
