Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1600,1600,1200,600,1500,1400
painting_2,sold,Math-T4,950,950,900,,550,850
painting_3,sold,Math-T4,1700,1700,1200,1600,1100,1000
painting_4,sold,Math-T4,1800,1800,1500,1200,1000,1700
painting_5,sold,Math-T4,2750,2750,1750,1150,2650,2350
painting_6,sold,Mimic-Pro,2100,1000,1800,1900,1700,2100
painting_7,sold,Mimic-GPT-5.4,2300,1100,2300,2100,2200,1200
painting_8,sold,Mimic-Opus,2100,1100,1900,200,2100,2000
painting_9,sold,Mimic-Grok,3550,900,3050,3550,1950,1450
painting_10,sold,Mimic-Pro,5000,1200,4750,850,3500,5000
painting_11,sold,Mimic-Opus,6500,900,5750,6000,6500,1600
painting_12,sold,Mimic-GPT-5.4,6700,1200,6700,6450,1400,2900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,5,1200,8800,0.88,12,12,0,3087.5
Mimic-GPT-5.4,2,1000,9000,0.9,12,12,0,3087.5
Mimic-Grok,1,6450,3550,0.355,12,12,0,3087.5
Mimic-Opus,2,1400,8600,0.86,12,12,0,3087.5
Mimic-Pro,2,2900,7100,0.71,12,12,0,3087.5
