Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,1200,700,1200,650,1100,850
painting_2,sold,Mimic-Llama,1100,800,700,750,1100,1000
painting_3,sold,Mimic-Pro,1700,1000,1500,1600,1100,1700
painting_4,sold,Mimic-Llama,1300,1100,850,900,1300,800
painting_5,sold,Math-T2,1150,1150,1050,800,650,700
painting_6,sold,Mimic-Llama,1500,1000,1300,1400,1500,1200
painting_7,sold,Mimic-GPT-5.4,1450,1350,1450,1250,650,1050
painting_8,sold,Mimic-Grok,2000,1800,1600,2000,1300,1400
painting_9,sold,Mimic-Llama,2700,2300,2200,1600,2700,2600
painting_10,sold,Math-T2,3000,3000,2500,2700,1200,2900
painting_11,sold,Mimic-Pro,4100,2800,3850,1400,2200,4100
painting_12,sold,Math-T2,5250,5250,5000,4000,1000,2200

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,600,9400,0.94,12,12,0,2204.167
Mimic-GPT-5.4,2,7350,2650,0.265,12,12,0,2204.167
Mimic-Grok,1,8000,2000,0.2,12,12,0,2204.167
Mimic-Llama,4,3400,6600,0.66,12,12,0,2204.167
Mimic-Pro,2,4200,5800,0.58,12,12,0,2204.167
