Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1000,700,750,,950,1000
painting_2,sold,Mimic-GPT-5.4,1100,1000,1100,,300,400
painting_3,sold,Mimic-Opus,1300,1100,900,1000,1300,
painting_4,sold,Math-T3,1200,1200,500,1000,550,1100
painting_5,sold,Mimic-GPT-5.4,1100,1000,1100,950,900,550
painting_6,sold,Math-T3,1100,1100,900,1000,950,600
painting_7,sold,Mimic-Grok,2200,1300,1400,2200,2000,1900
painting_8,sold,Mimic-GPT-5.4,1750,1650,1750,1150,1050,1550
painting_9,sold,Mimic-Pro,2650,2550,800,1850,1650,2650
painting_10,sold,Math-T3,2400,2400,1500,1900,2300,2100
painting_11,sold,Mimic-Opus,5100,4350,2400,4850,5100,3350
painting_12,sold,Math-T3,4000,4000,3750,1800,2700,2300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,4,1300,8700,0.87,12,12,0,2075.0
Mimic-GPT-5.4,3,6050,3950,0.395,12,12,0,2075.0
Mimic-Grok,1,7800,2200,0.22,12,12,0,2075.0
Mimic-Opus,2,3600,6400,0.64,12,12,0,2075.0
Mimic-Pro,2,6350,3650,0.365,12,12,0,2075.0
