Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1500,1500,100,,300,1400
painting_2,sold,Mimic-Llama,4250,3750,1000,4250,1800,1100
painting_3,sold,Math-T4,2050,2050,1250,800,1950,950
painting_4,sold,Math-T4,3250,3250,150,3000,2200,2000
painting_5,sold,Mimic-Llama,3000,2500,2700,3000,2900,2800
painting_6,sold,Mimic-Opus,3250,3000,2800,2600,3250,1900
painting_7,sold,Mimic-Opus,4800,2850,3050,2750,4800,4300
painting_8,sold,Mimic-Pro,3250,3000,,2500,200,3250
painting_9,sold,Math-T4,2800,2800,1000,2700,1700,2400
painting_10,sold,Mimic-Grok,5300,400,5300,2450,550,5050
painting_11,sold,Mimic-Pro,4600,350,4100,2700,950,4600
painting_12,sold,Mimic-Grok,2800,350,2800,2700,1900,1800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,400,9600,0.96,12,12,0,3404.167
Mimic-Grok,2,1900,8100,0.81,12,12,0,3404.167
Mimic-Llama,2,2750,7250,0.725,12,12,0,3404.167
Mimic-Opus,2,1950,8050,0.805,12,12,0,3404.167
Mimic-Pro,2,2150,7850,0.785,12,12,0,3404.167
