Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-GPT-5.4,900,700,900,600,850,650
painting_2,sold,Mimic-Llama,1000,700,850,900,1000,950
painting_3,sold,Mimic-Llama,1100,1000,950,700,1100,750
painting_4,sold,Mimic-Opus,1300,950,1100,1200,1000,1300
painting_5,sold,Math-T2,1150,1150,950,1050,,850
painting_6,sold,Mimic-Llama,1800,1200,1400,250,1800,1500
painting_7,sold,Mimic-Grok,1800,1400,1600,1800,800,1300
painting_8,sold,Mimic-GPT-5.4,1900,1400,1900,1600,1000,1800
painting_9,sold,Mimic-Opus,2550,2250,1950,2350,1850,2550
painting_10,sold,Mimic-Grok,3650,2950,2750,3650,3150,1150
painting_11,sold,Mimic-Llama,4850,3600,4600,1600,4850,1700
painting_12,sold,Math-T2,5500,5500,5250,,1200,3250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,3350,6650,0.665,12,12,0,2291.667
Mimic-GPT-5.4,2,7200,2800,0.28,12,12,0,2291.667
Mimic-Grok,2,4550,5450,0.545,12,12,0,2291.667
Mimic-Llama,4,1250,8750,0.875,12,12,0,2291.667
Mimic-Opus,2,6150,3850,0.385,12,12,0,2291.667
