Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2429.25

painting_1 | status=sold | winner=Llama | winning_bid=1000
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Grok RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Llama RAISE to 500 (before=300, leader_after=bidder_3)
  turn 8: GPT-5.4 PASS (before=500, leader_after=bidder_3)
  turn 9: Grok PASS (before=500, leader_after=bidder_3)
  turn 10: Opus RAISE to 550 (before=500, leader_after=bidder_1)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_3)
  turn 12: Opus RAISE to 650 (before=600, leader_after=bidder_1)
  turn 13: Llama RAISE to 1000 (before=650, leader_after=bidder_3)
  turn 14: Opus PASS (before=1000, leader_after=bidder_3)

painting_2 | status=sold | winner=Llama | winning_bid=2000
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 200 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Grok PASS (before=250, leader_after=bidder_4)
  turn 6: Opus RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Llama RAISE to 500 (before=300, leader_after=bidder_3)
  turn 8: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 9: Opus RAISE to 600 (before=550, leader_after=bidder_1)
  turn 10: Llama RAISE to 700 (before=600, leader_after=bidder_3)
  turn 11: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_4)
  turn 12: Opus RAISE to 800 (before=750, leader_after=bidder_1)
  turn 13: Llama RAISE to 1000 (before=800, leader_after=bidder_3)
  turn 14: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 15: Opus RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 16: Llama RAISE to 1300 (before=1200, leader_after=bidder_3)
  turn 17: GPT-5.4 PASS (before=1300, leader_after=bidder_3)
  turn 18: Opus RAISE to 1400 (before=1300, leader_after=bidder_1)
  turn 19: Llama RAISE to 1500 (before=1400, leader_after=bidder_3)
  turn 20: Opus RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 21: Llama RAISE to 1700 (before=1600, leader_after=bidder_3)
  turn 22: Opus RAISE to 1800 (before=1700, leader_after=bidder_1)
  turn 23: Llama RAISE to 2000 (before=1800, leader_after=bidder_3)
  turn 24: Opus PASS (before=2000, leader_after=bidder_3)

painting_3 | status=sold | winner=Llama | winning_bid=5500
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 2000 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 PASS (before=2000, leader_after=bidder_3)
  turn 5: Grok PASS (before=2000, leader_after=bidder_3)
  turn 6: Opus RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 7: Llama RAISE to 2500 (before=2100, leader_after=bidder_3)
  turn 8: Opus RAISE to 2600 (before=2500, leader_after=bidder_1)
  turn 9: Llama RAISE to 2700 (before=2600, leader_after=bidder_3)
  turn 10: Opus RAISE to 2800 (before=2700, leader_after=bidder_1)
  turn 11: Llama RAISE to 3000 (before=2800, leader_after=bidder_3)
  turn 12: Opus RAISE to 3250 (before=3000, leader_after=bidder_1)
  turn 13: Llama RAISE to 3500 (before=3250, leader_after=bidder_3)
  turn 14: Opus RAISE to 3750 (before=3500, leader_after=bidder_1)
  turn 15: Llama RAISE to 4000 (before=3750, leader_after=bidder_3)
  turn 16: Opus RAISE to 4250 (before=4000, leader_after=bidder_1)
  turn 17: Llama RAISE to 4500 (before=4250, leader_after=bidder_3)
  turn 18: Opus RAISE to 4750 (before=4500, leader_after=bidder_1)
  turn 19: Llama RAISE to 5000 (before=4750, leader_after=bidder_3)
  turn 20: Opus RAISE to 5250 (before=5000, leader_after=bidder_1)
  turn 21: Llama RAISE to 5500 (before=5250, leader_after=bidder_3)
  turn 22: Opus PASS (before=5500, leader_after=bidder_3)

painting_4 | status=sold | winner=GPT-5.4 | winning_bid=1600
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 1600 (before=150, leader_after=bidder_4)
  turn 5: Grok PASS (before=1600, leader_after=bidder_4)
  turn 6: Opus PASS (before=1600, leader_after=bidder_4)
  turn 7: Llama PASS (before=1600, leader_after=bidder_4)

painting_5 | status=sold | winner=Opus | winning_bid=300
  turn 1: Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Pro PASS (before=100, leader_after=bidder_1)
  turn 3: Llama RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: GPT-5.4 PASS (before=150, leader_after=bidder_3)
  turn 5: Grok PASS (before=150, leader_after=bidder_3)
  turn 6: Opus RAISE to 200 (before=150, leader_after=bidder_1)
