Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1000,200,250,1000,650,
painting_2,sold,Llama,2000,1100,,2000,1800,
painting_3,sold,Llama,5500,,,5500,5250,
painting_4,sold,GPT-5.4,1600,1600,,150,100,
painting_5,sold,Opus,300,,,250,300,
painting_6,sold,Opus,1600,200,250,1700,1600,
painting_7,sold,Grok,400,350,400,150,300,
painting_8,sold,Opus,800,750,250,150,800,
painting_9,sold,GPT-5.4,850,850,250,150,800,
painting_10,sold,Grok,500,200,500,150,100,
painting_11,sold,GPT-5.4,7300,7300,,150,1610,
painting_12,sold,Grok,7301,250,7301,7551,100,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,3,250,9750,0.975,12,12,0,2429.25
Grok,3,1799,8201,0.82,12,12,0,2429.25
Llama,3,1500,8500,0.85,12,12,0,2429.25
Opus,3,7300,2700,0.27,12,12,0,2429.25
Pro,0,10000,0,0.0,12,12,0,2429.25
