Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Grok,max_bid_Llama,max_bid_Math-T4,max_bid_Opus,max_bid_Pro
painting_1,sold,Math-T4,1200,650,800,1200,1100,950
painting_2,sold,Math-T4,2900,,2800,2900,950,1000
painting_3,sold,Math-T4,2000,950,1900,2000,1800,1500
painting_4,sold,Math-T4,1500,900,1200,1500,950,1400
painting_5,sold,Math-T4,2000,900,1200,2000,1400,1900
painting_6,sold,Pro,1600,1400,1300,350,1500,1600
painting_7,sold,Llama,1600,,1600,300,1300,1400
painting_8,sold,Llama,2000,1900,2000,350,1600,1700
painting_9,sold,Grok,2400,2400,1500,350,2300,2100
painting_10,sold,Opus,3500,1000,2500,350,3500,2200
painting_11,sold,Llama,3750,3250,3750,350,2500,3500
painting_12,sold,Pro,8400,150,,100,6500,8400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Grok,1,7600,2400,0.24,12,12,0,2737.5
Llama,3,2650,7350,0.735,12,12,0,2737.5
Math-T4,5,400,9600,0.96,12,12,0,2737.5
Opus,1,6500,3500,0.35,12,12,0,2737.5
Pro,2,0,10000,1.0,12,12,0,2737.5
