Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1550,1550,1250,900,850,1450
painting_2,sold,Math-T4,2500,2500,2300,2400,1200,2100
painting_3,sold,Math-T4,1300,1300,1200,700,600,1100
painting_4,sold,Math-T4,2800,2800,1000,350,2700,1500
painting_5,sold,Mimic-Pro,2200,1600,1900,2100,2000,2200
painting_6,sold,Mimic-Pro,2500,1400,2200,2400,2300,2500
painting_7,sold,Mimic-GPT-5.4,2900,1500,2900,2300,2800,500
painting_8,sold,Mimic-Grok,4250,1600,2400,4250,4000,800
painting_9,sold,Mimic-Opus,3750,1500,3500,100,3750,900
painting_10,sold,Mimic-Grok,4750,1500,4250,4750,3500,4000
painting_11,sold,Mimic-GPT-5.4,5000,1500,5000,100,4500,1600
painting_12,sold,Mimic-Opus,5500,1500,1700,,5500,5250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,1850,8150,0.815,12,12,0,3250.0
Mimic-GPT-5.4,2,2100,7900,0.79,12,12,0,3250.0
Mimic-Grok,2,1000,9000,0.9,12,12,0,3250.0
Mimic-Opus,2,750,9250,0.925,12,12,0,3250.0
Mimic-Pro,2,5300,4700,0.47,12,12,0,3250.0
