Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1200,700,900,1200,1100,800
painting_2,sold,Mimic-Pro,1100,700,950,1000,900,1100
painting_3,sold,Mimic-Llama,1100,850,1000,1100,950,600
painting_4,sold,Mimic-Opus,1200,1100,400,700,1200,750
painting_5,sold,Mimic-Pro,1450,900,850,950,1250,1450
painting_6,sold,Mimic-Llama,1800,1300,1200,1800,1600,800
painting_7,sold,Mimic-Grok,1900,1600,1900,750,1800,800
painting_8,sold,Math-T2,1600,1600,950,1100,1500,1200
painting_9,sold,Math-T2,2100,2100,2000,1500,1900,1000
painting_10,sold,Mimic-Opus,3250,1600,2800,1900,3250,3000
painting_11,sold,Mimic-Llama,3500,3000,2900,3500,2100,2000
painting_12,sold,Math-T2,3000,3000,2900,1000,2600,2500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,3300,6700,0.67,12,12,0,1933.333
Mimic-Grok,1,8100,1900,0.19,12,12,0,1933.333
Mimic-Llama,4,2400,7600,0.76,12,12,0,1933.333
Mimic-Opus,2,5550,4450,0.445,12,12,0,1933.333
Mimic-Pro,2,7450,2550,0.255,12,12,0,1933.333
