Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1050,950,450,1050,650,900
painting_2,sold,Mimic-Pro,1200,1000,1100,850,950,1200
painting_3,sold,Mimic-Opus,2100,950,700,2000,2100,850
painting_4,sold,Mimic-Pro,1800,1500,1600,1700,1000,1800
painting_5,sold,Mimic-Llama,1600,1400,1200,1600,950,900
painting_6,sold,Mimic-GPT-5.4,1800,1800,1600,1200,1300,900
painting_7,sold,Mimic-Llama,2700,2300,1900,2700,2500,800
painting_8,sold,Mimic-Grok,2850,2650,2850,2050,1550,700
painting_9,sold,Mimic-Pro,3250,2700,100,2200,3000,3250
painting_10,sold,Mimic-GPT-5.4,4750,4750,3000,3250,4500,2100
painting_11,sold,Mimic-Opus,4250,2800,100,4000,4250,2000
painting_12,sold,Mimic-Grok,4750,2850,4750,4500,2750,3500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,3450,6550,0.655,12,12,0,2675.0
Mimic-Grok,2,2400,7600,0.76,12,12,0,2675.0
Mimic-Llama,3,4650,5350,0.535,12,12,0,2675.0
Mimic-Opus,2,3650,6350,0.635,12,12,0,2675.0
Mimic-Pro,3,3750,6250,0.625,12,12,0,2675.0
